impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.950,206.887
nccl,512,2048,5.145,398.051
nccl,1024,4096,4.905,834.988
nccl,2048,8192,4.921,1664.716
nccl,4096,16384,4.954,3307.001
nccl,8192,32768,4.934,6641.167
nccl,16384,65536,5.059,12953.719
nccl,32768,131072,5.209,25160.449
nccl,65536,262144,5.469,47929.888
nccl,131072,524288,5.779,90718.781
nccl,262144,1048576,5.810,180469.697
nccl,524288,2097152,5.699,367960.386
nccl,1048576,4194304,5.234,801283.810
nccl,2097152,8388608,5.225,1605492.680
nccl,4194304,16777216,5.505,3047585.283
nccl,8388608,33554432,5.175,6484104.508
nccl,16777216,67108864,5.659,11859067.904
nccl,33554432,134217728,5.225,25687882.885
nccl,67108864,268435456,5.420,49522758.163
nccl,134217728,536870912,5.155,104153552.899
nccl,268435456,1073741824,5.805,184952756.771
nccl,536870912,2147483648,5.145,417386434.418
nccl,1073741824,4294967296,5.605,766244088.026
naive,256,1024,244.250,4.192
naive,512,2048,244.725,8.369
naive,1024,4096,247.495,16.550
naive,2048,8192,249.785,32.796
naive,4096,16384,250.745,65.341
naive,8192,32768,253.060,129.487
naive,16384,65536,265.515,246.826
naive,32768,131072,271.214,483.278
naive,65536,262144,275.176,952.643
naive,131072,524288,276.146,1898.590
naive,262144,1048576,1969.650,532.367
naive,524288,2097152,2065.055,1015.543
naive,1048576,4194304,2061.485,2034.603
naive,2097152,8388608,2244.921,3736.706
naive,4194304,16777216,2443.000,6867.464
naive,8388608,33554432,2999.500,11186.675
naive,16777216,67108864,3966.590,16918.527
naive,33554432,134217728,5143.764,26093.290
naive,67108864,268435456,8085.775,33198.480
naive,134217728,536870912,13946.255,38495.703
naive,268435456,1073741824,25919.880,41425.417
naive,536870912,2147483648,50747.370,42317.142
naive,1073741824,4294967296,97355.455,44116.350
pipelined,256,1024,681.789,1.502
pipelined,512,2048,676.944,3.025
pipelined,1024,4096,597.975,6.850
pipelined,2048,8192,565.715,14.481
pipelined,4096,16384,529.821,30.924
pipelined,8192,32768,546.730,59.935
pipelined,16384,65536,594.729,110.195
pipelined,32768,131072,604.650,216.773
pipelined,65536,262144,624.810,419.558
pipelined,131072,524288,628.905,833.652
pipelined,262144,1048576,2547.899,411.545
pipelined,524288,2097152,2482.835,844.660
pipelined,1048576,4194304,2616.880,1602.788
pipelined,2097152,8388608,2910.330,2882.356
pipelined,4194304,16777216,3403.920,4928.793
pipelined,8388608,33554432,5591.371,6001.110
pipelined,16777216,67108864,6540.519,10260.480
pipelined,33554432,134217728,8036.746,16700.507
pipelined,67108864,268435456,11388.459,23570.832
pipelined,134217728,536870912,16782.614,31989.707
pipelined,268435456,1073741824,28156.104,38135.312
pipelined,536870912,2147483648,52680.069,40764.632
pipelined,1073741824,4294967296,98376.520,43658.459
