impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.879,209.869
nccl,512,2048,5.035,406.720
nccl,1024,4096,4.940,829.144
nccl,2048,8192,4.975,1646.764
nccl,4096,16384,4.930,3322.992
nccl,8192,32768,4.960,6606.054
nccl,16384,65536,5.075,12914.161
nccl,32768,131072,5.190,25252.908
nccl,65536,262144,5.621,46638.881
nccl,131072,524288,6.040,86797.839
nccl,262144,1048576,5.805,180617.927
nccl,524288,2097152,5.729,366046.318
nccl,1048576,4194304,5.801,723065.600
nccl,2097152,8388608,5.765,1455102.237
nccl,4194304,16777216,5.646,2971653.048
nccl,8388608,33554432,5.200,6452888.049
nccl,16777216,67108864,6.011,11165211.294
nccl,33554432,134217728,5.280,25421086.178
nccl,67108864,268435456,5.190,51717956.217
nccl,134217728,536870912,5.140,104443405.087
nccl,268435456,1073741824,5.591,192051156.818
nccl,536870912,2147483648,5.170,415365425.628
nccl,1073741824,4294967296,5.180,829201312.289
naive,256,1024,234.874,4.360
naive,512,2048,238.260,8.596
naive,1024,4096,243.571,16.816
naive,2048,8192,252.180,32.485
naive,4096,16384,242.735,67.497
naive,8192,32768,256.300,127.850
naive,16384,65536,262.605,249.561
naive,32768,131072,258.150,507.736
naive,65536,262144,266.335,984.264
naive,131072,524288,277.735,1887.728
naive,262144,1048576,2105.806,497.945
naive,524288,2097152,2207.870,949.853
naive,1048576,4194304,2165.040,1937.287
naive,2097152,8388608,2482.430,3379.193
naive,4194304,16777216,2626.905,6386.684
naive,8388608,33554432,2975.581,11276.600
naive,16777216,67108864,4100.219,16367.141
naive,33554432,134217728,5580.410,24051.590
naive,67108864,268435456,8788.385,30544.343
naive,134217728,536870912,14127.386,38002.142
naive,268435456,1073741824,26552.769,40438.036
naive,536870912,2147483648,51097.345,42027.304
naive,1073741824,4294967296,99032.044,43369.470
pipelined,256,1024,678.270,1.510
pipelined,512,2048,671.744,3.049
pipelined,1024,4096,620.145,6.605
pipelined,2048,8192,530.975,15.428
pipelined,4096,16384,531.185,30.844
pipelined,8192,32768,574.299,57.057
pipelined,16384,65536,571.381,114.698
pipelined,32768,131072,595.895,219.958
pipelined,65536,262144,623.250,420.608
pipelined,131072,524288,624.280,839.828
pipelined,262144,1048576,2444.661,428.925
pipelined,524288,2097152,2466.041,850.413
pipelined,1048576,4194304,2807.004,1494.228
pipelined,2097152,8388608,3243.124,2586.582
pipelined,4194304,16777216,3519.100,4767.474
pipelined,8388608,33554432,5961.111,5628.889
pipelined,16777216,67108864,6824.505,9833.513
pipelined,33554432,134217728,8660.195,15498.234
pipelined,67108864,268435456,12281.444,21856.995
pipelined,134217728,536870912,17518.021,30646.779
pipelined,268435456,1073741824,29413.234,36505.398
pipelined,536870912,2147483648,51381.685,41794.730
pipelined,1073741824,4294967296,99737.520,43062.704
