impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.885,209.613
nccl,512,2048,5.345,383.137
nccl,1024,4096,4.910,834.177
nccl,2048,8192,4.851,1688.854
nccl,4096,16384,4.915,3333.470
nccl,8192,32768,4.901,6686.400
nccl,16384,65536,5.105,12838.763
nccl,32768,131072,5.230,25062.950
nccl,65536,262144,5.515,47536.171
nccl,131072,524288,5.856,89536.778
nccl,262144,1048576,5.684,184481.817
nccl,524288,2097152,5.710,367269.020
nccl,1048576,4194304,5.835,718781.861
nccl,2097152,8388608,5.419,1547926.621
nccl,4194304,16777216,5.255,3192774.237
nccl,8388608,33554432,5.724,5861619.673
nccl,16777216,67108864,5.170,12980169.551
nccl,33554432,134217728,5.275,25444065.691
nccl,67108864,268435456,5.155,52076776.450
nccl,134217728,536870912,5.255,102168775.576
nccl,268435456,1073741824,5.206,206255993.926
nccl,536870912,2147483648,26.720,80371189.924
nccl,1073741824,4294967296,5.150,833999930.995
naive,256,1024,238.839,4.287
naive,512,2048,233.001,8.790
naive,1024,4096,248.700,16.470
naive,2048,8192,257.319,31.836
naive,4096,16384,256.790,63.803
naive,8192,32768,272.565,120.221
naive,16384,65536,270.075,242.659
naive,32768,131072,271.335,483.064
naive,65536,262144,283.715,923.971
naive,131072,524288,296.606,1767.625
naive,262144,1048576,2156.845,486.162
naive,524288,2097152,2060.449,1017.813
naive,1048576,4194304,2274.641,1843.941
naive,2097152,8388608,2273.695,3689.416
naive,4194304,16777216,2726.231,6153.997
naive,8388608,33554432,3137.560,10694.436
naive,16777216,67108864,4096.445,16382.221
naive,33554432,134217728,5630.729,23836.651
naive,67108864,268435456,8241.235,32572.236
naive,134217728,536870912,14485.489,37062.671
naive,268435456,1073741824,26965.965,39818.409
naive,536870912,2147483648,51376.051,41799.313
naive,1073741824,4294967296,98730.425,43501.963
pipelined,256,1024,577.841,1.772
pipelined,512,2048,525.689,3.896
pipelined,1024,4096,449.461,9.113
pipelined,2048,8192,457.325,17.913
pipelined,4096,16384,456.115,35.921
pipelined,8192,32768,467.510,70.090
pipelined,16384,65536,466.820,140.388
pipelined,32768,131072,473.835,276.619
pipelined,65536,262144,484.425,541.145
pipelined,131072,524288,510.105,1027.804
pipelined,262144,1048576,2278.200,460.265
pipelined,524288,2097152,2435.186,861.188
pipelined,1048576,4194304,2491.920,1683.162
pipelined,2097152,8388608,2858.796,2934.315
pipelined,4194304,16777216,5126.405,3272.706
pipelined,8388608,33554432,5626.435,5963.711
pipelined,16777216,67108864,6476.946,10361.190
pipelined,33554432,134217728,7878.425,17036.111
pipelined,67108864,268435456,10681.245,25131.476
pipelined,134217728,536870912,16888.150,31789.800
pipelined,268435456,1073741824,29890.989,35921.924
pipelined,536870912,2147483648,51451.465,41738.047
pipelined,1073741824,4294967296,102841.370,41763.031
