impl,input_size,input_bytes,avg_latency,throughput
pipelined,256,1024,325.634,3.145
pipelined,512,2048,324.529,6.311
pipelined,1024,4096,301.836,13.570
pipelined,2048,8192,266.041,30.792
pipelined,4096,16384,262.570,62.399
pipelined,8192,32768,268.359,122.105
pipelined,16384,65536,276.544,236.982
pipelined,32768,131072,296.340,442.303
pipelined,65536,262144,312.135,839.841
pipelined,131072,524288,314.651,1666.255
pipelined,262144,1048576,861.075,1217.752
pipelined,524288,2097152,1398.236,1499.856
pipelined,1048576,4194304,1485.610,2823.287
pipelined,2097152,8388608,1633.079,5136.682
pipelined,4194304,16777216,1912.695,8771.505
pipelined,8388608,33554432,2726.630,12306.192
pipelined,16777216,67108864,3849.241,17434.313
pipelined,33554432,134217728,5604.080,23950.002
pipelined,67108864,268435456,8593.980,31235.290
pipelined,134217728,536870912,14297.130,37550.957
pipelined,268435456,1073741824,25660.130,41844.754
pipelined,536870912,2147483648,40080.730,53578.956
pipelined,1073741824,4294967296,73344.824,58558.560
