impl,input_size,input_bytes,avg_latency,throughput
pipelined,256,1024,678.830,1.508
pipelined,512,2048,697.490,2.936
pipelined,1024,4096,629.820,6.503
pipelined,2048,8192,567.775,14.428
pipelined,4096,16384,583.625,28.073
pipelined,8192,32768,558.336,58.689
pipelined,16384,65536,576.675,113.645
pipelined,32768,131072,586.865,223.343
pipelined,65536,262144,614.051,426.909
pipelined,131072,524288,618.460,847.731
pipelined,262144,1048576,2252.874,465.439
pipelined,524288,2097152,2583.030,811.896
pipelined,1048576,4194304,2498.150,1678.964
pipelined,2097152,8388608,3254.136,2577.830
pipelined,4194304,16777216,3580.159,4686.165
pipelined,8388608,33554432,5995.696,5596.420
pipelined,16777216,67108864,6992.880,9596.742
pipelined,33554432,134217728,8546.419,15704.557
pipelined,67108864,268435456,11513.444,23314.957
pipelined,134217728,536870912,17637.525,30439.130
pipelined,268435456,1073741824,30281.360,35458.837
pipelined,536870912,2147483648,53491.476,40146.278
pipelined,1073741824,4294967296,101569.970,42285.799
