impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.981,205.599
nccl,512,2048,5.385,380.338
nccl,1024,4096,5.035,813.441
nccl,2048,8192,4.950,1655.093
nccl,4096,16384,5.075,3228.540
nccl,8192,32768,5.075,6457.080
nccl,16384,65536,5.184,12640.971
nccl,32768,131072,5.310,24685.937
nccl,65536,262144,5.549,47240.027
nccl,131072,524288,5.990,87523.314
nccl,262144,1048576,5.835,179695.465
nccl,524288,2097152,5.840,359097.490
nccl,1048576,4194304,6.050,693288.120
nccl,2097152,8388608,5.370,1562014.299
nccl,4194304,16777216,5.790,2897621.749
nccl,8388608,33554432,5.690,5897233.956
nccl,16777216,67108864,5.530,12135157.435
nccl,33554432,134217728,5.264,25495921.804
nccl,67108864,268435456,5.701,47089080.169
nccl,134217728,536870912,5.716,93922828.517
nccl,268435456,1073741824,5.440,197396433.371
nccl,536870912,2147483648,5.505,390090916.186
nccl,1073741824,4294967296,5.234,820514621.247
naive,256,1024,231.450,4.424
naive,512,2048,238.450,8.589
naive,1024,4096,243.191,16.843
naive,2048,8192,246.750,33.200
naive,4096,16384,243.545,67.273
naive,8192,32768,258.700,126.664
naive,16384,65536,270.015,242.712
naive,32768,131072,272.560,480.892
naive,65536,262144,283.569,924.445
naive,131072,524288,289.840,1808.891
naive,262144,1048576,2250.265,465.979
naive,524288,2097152,2275.990,921.424
naive,1048576,4194304,2286.265,1834.566
naive,2097152,8388608,2855.580,2937.620
naive,4194304,16777216,2857.995,5870.275
naive,8388608,33554432,3393.921,9886.628
naive,16777216,67108864,4240.055,15827.357
naive,33554432,134217728,5731.840,23416.167
naive,67108864,268435456,8867.869,30270.569
naive,134217728,536870912,15134.904,35472.369
naive,268435456,1073741824,27496.721,39049.814
naive,536870912,2147483648,53398.756,40215.987
naive,1073741824,4294967296,101330.625,42385.679
pipelined,256,1024,552.125,1.855
pipelined,512,2048,498.871,4.105
pipelined,1024,4096,430.220,9.521
pipelined,2048,8192,438.360,18.688
pipelined,4096,16384,435.430,37.627
pipelined,8192,32768,451.705,72.543
pipelined,16384,65536,455.210,143.969
pipelined,32768,131072,462.995,283.096
pipelined,65536,262144,448.560,584.413
pipelined,131072,524288,492.949,1063.573
pipelined,262144,1048576,2442.700,429.269
pipelined,524288,2097152,2848.234,736.299
pipelined,1048576,4194304,2628.200,1595.885
pipelined,2097152,8388608,3284.736,2553.815
pipelined,4194304,16777216,5252.795,3193.960
pipelined,8388608,33554432,5985.600,5605.860
pipelined,16777216,67108864,7417.580,9047.272
pipelined,33554432,134217728,8556.736,15685.623
pipelined,67108864,268435456,11619.124,23102.899
pipelined,134217728,536870912,18596.895,28868.847
pipelined,268435456,1073741824,30267.454,35475.128
pipelined,536870912,2147483648,55952.345,38380.583
pipelined,1073741824,4294967296,102470.630,41914.130
