impl,input_size,input_bytes,avg_latency,throughput
pipelined,256,1024,183.150,5.591
pipelined,512,2048,229.495,8.924
pipelined,1024,4096,217.490,18.833
pipelined,2048,8192,208.055,39.374
pipelined,4096,16384,210.456,77.850
pipelined,8192,32768,220.635,148.517
pipelined,16384,65536,220.906,296.670
pipelined,32768,131072,237.300,552.346
pipelined,65536,262144,233.480,1122.770
pipelined,131072,524288,243.980,2148.900
pipelined,262144,1048576,815.570,1285.697
pipelined,524288,2097152,1342.225,1562.444
pipelined,1048576,4194304,872.755,4805.820
pipelined,2097152,8388608,1555.890,5391.518
pipelined,4194304,16777216,2150.995,7799.748
pipelined,8388608,33554432,3110.789,10786.470
pipelined,16777216,67108864,3760.345,17846.465
pipelined,33554432,134217728,4888.605,27455.221
pipelined,67108864,268435456,8848.780,30335.870
pipelined,134217728,536870912,14010.116,38320.234
pipelined,268435456,1073741824,21348.959,50294.809
pipelined,536870912,2147483648,39771.875,53995.031
pipelined,1073741824,4294967296,76117.080,56425.802
