impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.470,229.065
nccl,512,2048,5.029,407.202
nccl,1024,4096,4.950,827.547
nccl,2048,8192,5.035,1626.882
nccl,4096,16384,4.765,3438.553
nccl,8192,32768,5.004,6547.830
nccl,16384,65536,5.449,12027.036
nccl,32768,131072,5.250,24966.204
nccl,65536,262144,5.025,52171.370
nccl,131072,524288,5.310,98743.747
nccl,262144,1048576,5.159,203236.900
nccl,524288,2097152,6.266,334706.736
nccl,1048576,4194304,6.421,653256.073
nccl,2097152,8388608,5.220,1606959.218
nccl,4194304,16777216,5.031,3335011.572
nccl,8388608,33554432,5.050,6644829.479
nccl,16777216,67108864,4.730,14187246.810
nccl,33554432,134217728,5.130,26165463.789
nccl,67108864,268435456,5.200,51623104.394
nccl,134217728,536870912,4.755,112900466.968
nccl,268435456,1073741824,5.360,200338061.716
nccl,536870912,2147483648,5.225,411006126.157
nccl,1073741824,4294967296,4.745,905246156.255
naive,256,1024,68.735,14.898
naive,512,2048,67.400,30.386
naive,1024,4096,67.915,60.311
naive,2048,8192,69.470,117.921
naive,4096,16384,71.790,228.221
naive,8192,32768,74.455,440.107
naive,16384,65536,75.386,869.344
naive,32768,131072,80.526,1627.700
naive,65536,262144,87.110,3009.351
naive,131072,524288,90.140,5816.368
naive,262144,1048576,1024.565,1023.436
naive,524288,2097152,572.799,3661.233
naive,1048576,4194304,647.064,6482.050
naive,2097152,8388608,1203.641,6969.362
naive,4194304,16777216,1421.655,11801.183
naive,8388608,33554432,1260.281,26624.572
naive,16777216,67108864,2357.450,28466.724
naive,33554432,134217728,4001.390,33542.778
naive,67108864,268435456,5956.210,45068.166
naive,134217728,536870912,10895.990,49272.338
naive,268435456,1073741824,21402.090,50169.953
naive,536870912,2147483648,38995.905,55069.466
naive,1073741824,4294967296,75806.510,56656.971
pipelined,256,1024,122.596,8.353
pipelined,512,2048,114.565,17.876
pipelined,1024,4096,151.961,26.954
pipelined,2048,8192,118.029,69.407
pipelined,4096,16384,122.595,133.643
pipelined,8192,32768,126.165,259.723
pipelined,16384,65536,127.950,512.201
pipelined,32768,131072,127.521,1027.850
pipelined,65536,262144,135.759,1930.950
pipelined,131072,524288,149.510,3506.711
pipelined,262144,1048576,661.540,1585.053
pipelined,524288,2097152,721.976,2904.741
pipelined,1048576,4194304,734.670,5709.098
pipelined,2097152,8388608,2200.985,3811.297
pipelined,4194304,16777216,1903.285,8814.874
pipelined,8388608,33554432,2244.420,14950.157
pipelined,16777216,67108864,3004.706,22334.587
pipelined,33554432,134217728,4685.140,28647.540
pipelined,67108864,268435456,7715.650,34791.038
pipelined,134217728,536870912,11754.606,45673.238
pipelined,268435456,1073741824,21984.825,48840.135
pipelined,536870912,2147483648,41621.935,51594.997
pipelined,1073741824,4294967296,78552.735,54676.229
