impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.630,221.162
nccl,512,2048,4.926,415.776
nccl,1024,4096,4.910,834.177
nccl,2048,8192,4.880,1678.541
nccl,4096,16384,4.990,3283.300
nccl,8192,32768,5.200,6301.648
nccl,16384,65536,5.405,12125.183
nccl,32768,131072,5.879,22293.423
nccl,65536,262144,5.405,48500.733
nccl,131072,524288,5.064,103532.168
nccl,262144,1048576,5.084,206238.992
nccl,524288,2097152,4.970,421976.158
nccl,1048576,4194304,5.065,828062.417
nccl,2097152,8388608,5.156,1627022.987
nccl,4194304,16777216,4.650,3607728.489
nccl,8388608,33554432,5.159,6503580.793
nccl,16777216,67108864,4.669,14371967.154
nccl,33554432,134217728,4.880,27501219.024
nccl,67108864,268435456,4.705,57050920.033
nccl,134217728,536870912,4.646,115565810.299
nccl,268435456,1073741824,4.721,227454526.635
nccl,536870912,2147483648,4.619,464887703.471
nccl,1073741824,4294967296,4.735,907069411.354
naive,256,1024,88.980,11.508
naive,512,2048,87.355,23.444
naive,1024,4096,93.884,43.628
naive,2048,8192,91.920,89.121
naive,4096,16384,94.650,173.101
naive,8192,32768,75.260,435.395
naive,16384,65536,95.130,688.908
naive,32768,131072,98.890,1325.431
naive,65536,262144,107.831,2431.069
naive,131072,524288,89.965,5827.697
naive,262144,1048576,525.665,1994.760
naive,524288,2097152,620.641,3379.012
naive,1048576,4194304,656.785,6386.116
naive,2097152,8388608,738.595,11357.528
naive,4194304,16777216,909.054,18455.681
naive,8388608,33554432,1292.710,25956.652
naive,16777216,67108864,1916.860,35009.783
naive,33554432,134217728,3195.815,41997.964
naive,67108864,268435456,4839.200,55471.042
naive,134217728,536870912,9364.280,57331.791
naive,268435456,1073741824,18467.516,58142.191
naive,536870912,2147483648,36739.039,58452.362
naive,1073741824,4294967296,72297.175,59407.125
ring_p2p,256,1024,86.255,11.872
ring_p2p,512,2048,59.965,34.153
ring_p2p,1024,4096,84.840,48.279
ring_p2p,2048,8192,61.384,133.454
ring_p2p,4096,16384,62.090,263.874
ring_p2p,8192,32768,84.189,389.219
ring_p2p,16384,65536,83.090,788.734
ring_p2p,32768,131072,83.115,1576.994
ring_p2p,65536,262144,87.110,3009.351
ring_p2p,131072,524288,79.631,6584.001
ring_p2p,262144,1048576,632.440,1657.985
ring_p2p,524288,2097152,558.740,3753.360
ring_p2p,1048576,4194304,637.164,6582.769
ring_p2p,2097152,8388608,704.706,11903.704
ring_p2p,4194304,16777216,733.664,22867.709
ring_p2p,8388608,33554432,1093.169,30694.630
ring_p2p,16777216,67108864,1411.225,47553.638
ring_p2p,33554432,134217728,2259.389,59404.431
ring_p2p,67108864,268435456,3982.869,67397.504
ring_p2p,134217728,536870912,7400.810,72542.187
ring_p2p,268435456,1073741824,14715.716,72965.655
ring_p2p,536870912,2147483648,28200.605,76150.269
ring_p2p,1073741824,4294967296,55827.045,76933.452
ring_p2p_o3,256,1024,89.900,11.390
ring_p2p_o3,512,2048,90.660,22.590
ring_p2p_o3,1024,4096,90.126,45.448
ring_p2p_o3,2048,8192,91.910,89.130
ring_p2p_o3,4096,16384,92.845,176.466
ring_p2p_o3,8192,32768,93.560,350.234
ring_p2p_o3,16384,65536,90.054,727.739
ring_p2p_o3,32768,131072,91.195,1437.270
ring_p2p_o3,65536,262144,96.655,2712.165
ring_p2p_o3,131072,524288,100.410,5221.473
ring_p2p_o3,262144,1048576,1051.666,997.062
ring_p2p_o3,524288,2097152,713.620,2938.751
ring_p2p_o3,1048576,4194304,1109.099,3781.721
ring_p2p_o3,2097152,8388608,711.880,11783.743
ring_p2p_o3,4194304,16777216,1245.786,13467.174
ring_p2p_o3,8388608,33554432,1498.345,22394.328
ring_p2p_o3,16777216,67108864,1904.055,35245.236
ring_p2p_o3,33554432,134217728,3173.795,42289.354
ring_p2p_o3,67108864,268435456,4920.050,54559.499
ring_p2p_o3,134217728,536870912,8661.735,61981.913
ring_p2p_o3,268435456,1073741824,16645.991,64504.531
ring_p2p_o3,536870912,2147483648,30747.485,69842.579
ring_p2p_o3,1073741824,4294967296,59640.110,72014.745
